指标/信息类别,指标名称/数据项,用途/判断逻辑,数据来源/获取方式,使用阶段,重要性
5日均线 (MA5),MA5 / 5日移动平均线,判断短期资金情绪，短线风向标,股票软件K线图 / 行情API,趋势判断+买卖点,⭐⭐⭐ 核心
20日均线 (MA20),MA20 / 20日移动平均线 / 生命线,判断中期趋势，操作底线，过滤杂波,股票软件K线图 / 行情API,趋势判断+买卖点,⭐⭐⭐ 核心
均线方向判断,20日均线斜率方向,决定是否可以操作：向上=可操作，走平=观望，向下=不进场,肉眼观察/计算斜率,第一步：趋势判断,⭐⭐⭐ 核心前提
均线交叉状态,金叉(5日上穿20日) / 死叉(5日下穿20日),金叉=买点信号；死叉=清仓信号(强势止盈),股票软件自动标注 / 手动对比,第二步：买点 / 第三步：止盈,⭐⭐⭐ 核心信号
均线粘合状态,5日与20日均线距离(粘合/发散),粘合后发散=主升浪买点信号,肉眼观察两线距离,第二步：买点(均线粘合发散),⭐⭐ 重要
当日成交量,Volume / 当日成交手数/金额,配合价格判断资金真实意图,行情软件成交量柱 / API,第二步：买点确认,⭐⭐⭐ 核心验证
前一日成交量,前一日Volume,计算放量/缩量基准,行情历史数据,第二步：买点确认,⭐⭐ 辅助
成交量放大倍数,当日Volume ÷ 前一日Volume,≥1.5倍=放量金叉有效；无量金叉=假信号,手动计算或程序计算,第二步：金叉买点验证,⭐⭐⭐ 关键验证
成交量缩量比例,(前日Volume - 当日Volume) ÷ 前日Volume,缩量50%-70%=洗盘确认，可加仓,手动计算或程序计算,第二步：回踩买点验证,⭐⭐⭐ 关键验证
当日收盘价,Close / 收盘价,核心价格基准，所有判断依据,行情软件 / API,全阶段,⭐⭐⭐ 基础
当日开盘价,Open / 开盘价,辅助判断K线形态,行情软件 / API,辅助判断,⭐ 参考
当日最高价,High / 最高价,判断日内强度,行情软件 / API,辅助判断,⭐ 参考
当日最低价,Low / 最低价,判断日内支撑,行情软件 / API,辅助判断,⭐ 参考
前一日收盘价,Prev Close,计算涨跌幅,行情历史数据,计算用,⭐ 计算用
5日均线价格,MA5数值,判断股价与短期均线关系,行情软件MA线 / API计算,买卖点判断,⭐⭐⭐ 核心
20日均线价格,MA20数值,判断股价与中期均线关系,行情软件MA线 / API计算,趋势+买卖点判断,⭐⭐⭐ 核心
前期震荡区间上沿,近期高点,突破=主升浪确认,近期K线高点连线,买点确认,⭐⭐ 重要
前期震荡区间下沿,近期低点,跌破=趋势可能破坏,近期K线低点连线,止损参考,⭐⭐ 重要
20日线方向,向上/走平/向下,前提条件：只有向上才操作,肉眼观察/斜率计算,第一步,⭐⭐⭐ 决定性
股价与5日线位置关系,站上/跌破,站上=强势；跌破5日线=短线止损,对比收盘价与MA5,买卖点+止损,⭐⭐⭐ 关键
股价与20日线位置关系,站上/跌破/回踩,回踩未破=二次买点；放量跌破=趋势止损,对比收盘价与MA20,买点+止损,⭐⭐⭐ 关键
当前持仓比例,已投入仓位%,控制总仓位≤50%,交易记录/账户信息,仓位管理,⭐⭐⭐ 必须
当前持仓成本,持仓均价,计算盈亏和止损位,交易记录,盈亏计算,⭐⭐⭐ 必须
当前浮动盈亏比例,(现价-成本)/成本 × 100%,常规止盈3%-5%；强势持有到死叉,实时计算,止盈决策,⭐⭐⭐ 必须
均线粘合持续天数,连续粘合交易日数(≥5天),粘合≥5天+放量突破=主升浪买点,手动计数或程序计数,第二步：主升浪买点,⭐⭐ 重要
死叉后观察天数,死叉确认后持仓观察期,死叉确认后次日未收回=清仓,手动跟踪,第三步：止盈,⭐⭐ 重要
大盘指数趋势,大盘20日线方向,辅助判断，大盘向下时降低仓位,大盘指数K线(如上证指数),第一步：辅助过滤,⭐ 辅助参考
所属板块趋势,板块20日线方向,辅助判断，板块向下时谨慎操作,板块指数K线,第一步：辅助过滤,⭐ 辅助参考
